源表名称,src_table_name,,X,X,X,X
源系统表级分析结果表,src_table_analysis,,X,X,X,X
源系统字段级分析结果表,src_column_analysis,,X,X,X,X
源系统表级分析结果历史表,src_table_analysis_his,,X,X,X,X
源系统字段级分析结果历史表,src_column_analysis_his,,X,X,X,X
系统名称,sys_name,,X,X,X,X
业务系统表,ent_system,,X,X,X,X
字段名称,column_name,,X,X,X,X
ETL开发人员,etl_developer,,X,X,X,X
ETL开发人员名称,etl_dvlpr_name,,X,X,X,X
ETL开发组别,etl_dev_group,,X,X,X,X
数据仓库数据区,dw_schema,,X,X,X,X
数据区名称,schema_name,,X,X,X,X
数据区类型,schema_type,,X,X,X,X
数据仓库表,dw_table,,X,X,X,X
数据仓库表名称,table_name,,X,X,X,X
中文名称,cn_name,,X,X,X,X
加载策略,load_mode,,X,X,X,X
删除策略,clear_mode,,X,X,X,X
是否保留首次加载日期,keep_load_dt,,X,X,X,X
是否计算积数,do_aggregate,,X,X,X,X
备注,comments,,X,X,X,X
加载批次,load_batch,,X,X,X,X
数据类型,data_type,,X,X,X,X
允许为空,allow_null,,X,X,X,X
是否主键,is_pk,,X,X,X,X
积数计算周期,agg_period,,X,X,X,X
是否参与拉链比较,chain_compare,,X,X,X,X
字段计算表达式,column_expr,,X,X,X,X
目标表名称,table_name,,X,X,X,X
目标数据区名称,schema_name,,X,X,X,X
源数据区名称,src_schema,,X,X,X,X
表别名,table_alias,,X,X,X,X
表关联次序,join_order,,X,X,X,X
表关联条件,join_condition,,X,X,X,X
表关联类型,join_type,,X,X,X,X
表过滤条件,filter_condition,,X,X,X,X
空值数量,null_count,,X,X,X,X
唯一值数量,uv_count,,X,X,X,X
文档数据类型,doc_data_type,,X,X,X,X
文档中文名称,doc_cn_name,,X,X,X,X
文档允许为空,doc_allow_null,,X,X,X,X
文档是否主键,doc_is_pk,,X,X,X,X
记录数目,row_count,,X,X,X,X
ETL任务表,etl_tasks,,X,X,X,X
ETL任务历史表,etl_tasks_his,,X,X,X,X
任务状态,task_status,,X,X,X,X
源系统字段表,src_sys_columns,,X,X,X,X
数据仓库字段表,dw_columns,,X,X,X,X
数据仓库表级映射,dw_table_mapping,,X,X,X,X
数据仓库表级映射历史,dw_table_mapping_his,,X,X,X,X
数据仓库字段级映射,dw_column_mapping,,X,X,X,X
数据仓库字段级映射历史,dw_column_mapping_his,,X,X,X,X
源系统数据区,source_schema,,X,X,X,X
系统参数表,system_properties,,X,X,X,X
参数名称,property_name,,X,X,X,X
参数值,peroperty_value,,X,X,X,X
字段编号,column_id,,X,X,X,X
版本号,version,,X,X,X,X
时间戳,timestamp,,X,X,X,X
任务名称,task_name,,X,X,X,X
ETL目标表,etl_tables,,X,X,X,X
数据区,table_schema,,X,X,X,X
数据区类别,schema_type,,X,X,X,X
业务描述,description,,X,X,X,X
是否采集,need_ext,,X,X,X,X
不采集原因,no_ext_cmt,,X,X,X,X
是否整合,need_int,,X,X,X,X
不整合原因,no_int_cmt,,X,X,X,X
抽取周期,ext_cycle,,X,X,X,X
是否增量,is_inc_ext,,X,X,X,X
抽取条件,ext_condition,,X,X,X,X
接口名称,stbl_name,,X,X,X,X
序号,serial_no,,X,X,X,X
字段长度,column_len,,X,X,X,X
引用表,ref_table,,X,X,X,X
引用字段,ref_column,,X,X,X,X
文档字段长度,doc_col_len,,X,X,X,X
文档引用表,doc_ref_tbl,,X,X,X,X
文档引用字段,doc_ref_col,,X,X,X,X
唯一值分析,uv_check,,X,X,X,X
空值分析,null_check,,X,X,X,X
值域分析,value_check,,X,X,X,X
参考完整性分析,ref_check,,X,X,X,X
值域,unique_values,,X,X,X,X
参考完整性,ref_ok,,X,X,X,X
表中文名称,tbl_cn_name,,X,X,X,X
字段中文名称,col_cn_name,,X,X,X,X
问题描述,question,,X,X,X,X
问题答复,reply,,X,X,X,X
问题提交日期,submit_date,,X,X,X,X
问题答复日期,reply_date,,X,X,X,X
答复人,reply_prsn,,X,X,X,X
调研问题表,analysis_question,,X,X,X,X
主题名称,subject_name,,X,X,X,X
数据仓库主题,dw_subject,,X,X,X,X
是否主表,is_fact,,X,X,X,X
是否入主实体,load_to_fact,,X,X,X,X
源系统表主题划分,src_tbl_subject,,X,X,X,X
物理名称,phy_name,,X,X,X,X
源系统名称,src_sys_name,,X,X,X,X
源字段名称,src_column_name,,X,X,X,X
词汇表,vocabulary,,X,X,X,X
中文词汇,cn_word,,X,X,X,X
英文词汇,en_word,,X,X,X,X
计划开始日期,plan_start_dt,,X,X,X,X
计划完成日期,plan_finish_dt,,X,X,X,X
实际完成日期,actual_finish_dt,,X,X,X,X
实际开始日期,actual_start_dt,,X,X,X,X
加载组别,load_group,,X,X,X,X
是否分区键,is_partition_key,,X,X,X,X
字段值域分布,col_value_histogram,,X,X,X,X
值域分布ID,value_histogram_id,,X,X,X,X
值域分布,value_histogram,,X,X,X,X
统计时间,collect_time,,X,X,X,X
特征值出现频率,mode_value_freq,,X,X,X,X
特征值,mode_value,,X,X,X,X
最大值,max_value,,X,X,X,X
最小值,min_value,,X,X,X,X
取值数目,value_count,,X,X,X,X
空值数目,null_count,,X,X,X,X
字段统计信息,column_stats,,X,X,X,X
表统计信息,table_stats,,X,X,X,X
是否分批加载,is_single_source,,X,X,X,X
